,R_1M,R_3M,AboveEMA50,Vol20(ann),VolAcceleration,FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
CPS,0.30955822428352975,0.9729526828937958,0.20790337744781473,0.3138560394673566,0.341025223963375,3.465946145269408,1.645434995193782,1.6786681407307587,-0.008932870075735289,1.0921217290210463,1.6994810471977169
CTNM,0.38526035221457255,2.0299716239355026,0.3752670899116788,0.6105797502167433,0.5131426254557846,3.0390018747527305,0.6078277906766267,1.0530510314463746,0.04351645318956643,0.6061377528345289,-0.20474738461466968
TPR,0.13983884617679432,0.33522553455544446,0.10357880271481235,0.2488503572335447,0.5339468009458338,2.6572091195699894,0.11981948748603344,3.0787952917861676,0.05366279000410623,0.4619770922729185,0.64998579579346
DFEN,0.13167418122865926,0.33750425044655863,0.11004857747927654,0.4365781518881102,0.5949146584646158,2.6333253830709706,0.7335641283894205,1.7962753372116604,0.0492551268735506,0.7997102801502483,1.16498654057327
HNRG,0.19633256437606827,0.2833662732339288,0.11806215702957079,0.3598671053756663,0.5251996149151731,2.563058906949331,-0.1459189989912142,3.5475515610582926,0.11294324659867239,0.42822785634867566,0.5722118651809538
DRD,0.566957551519454,0.7421469647559527,0.3283142320375192,0.44952195223263586,0.7541558066076455,2.51969299275542,0.2524222896352084,0.43770789912208974,0.060818595737071934,0.6528867276525876,1.6874199296372598
LSCC,0.15616691752818235,0.45144532939676374,0.159166176615831,0.33145227606583566,0.4923424258821985,2.4620730655281484,0.021774239292510877,0.13609316132987237,0.07846888018355247,0.11751091398552638,0.1881648360994006
DECO,0.25989627008282623,0.5770400539271483,0.21607414476734466,0.30497421602027125,0.6137678159320308,2.4039837628429455,-0.005529290142292087,0.9036488400876319,0.10494304683989797,0.725006531601023,0.40699800814038833
LASR,0.19092189179129693,0.7846621823348314,0.21658562367254808,0.39534855458152485,0.446543014264107,2.400998050047961,0.21586493617738878,0.7229028372708874,0.06339503806783253,2.4816925321625467,1.7944746454184268
ALAI,0.12106713260805302,0.2715353987800664,0.0973014132400023,0.18935707389400205,0.5084246727546,2.3763426221973027,0.21526173692550366,0.8363658524692026,0.019243021280278994,0.4392297191546668,0.32354044268493465
