,R_1M,R_3M,AboveEMA50,Vol20(ann),VolAcceleration,FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
PLYM,0.5068674063132173,0.36874895522914475,0.15989182352142461,0.1944190155799838,0.2594353428368144,3.2609030779038553,3.7913303020051226,3.5350262049506993,0.004843962314447836,0.25889019344880615,0.2072321993075601
PAAS,0.1473405687136089,0.2618650237185467,0.13121588582614274,0.2623284871534098,0.4950304430245792,2.6636372832421555,-0.08234823767063126,1.1827957277078955,0.028771778183373176,0.3375393582293098,0.7154381460482568
SONO,0.1437255456937101,0.5783932325495842,0.20121178922035332,0.28119596003974323,0.4769294237085932,2.658479122936021,0.12723776922086927,0.15858994775376312,0.041654707335312846,0.2289210651400737,-0.019590550646750082
PRCH,0.12869251835753137,0.661609026338305,0.17027715045423175,0.47316064793238166,0.37011823697844637,2.6344911855949253,0.5863110128847433,0.5111138565924649,-0.038202993258054874,1.4882568143778538,2.463227868027744
HECO,0.15599584791965193,0.37231296459525565,0.15998856998738042,0.24687224314888456,0.5501722758585048,2.6279961821137254,0.11210627130842266,1.335818188052257,0.11147113675142784,0.34159030405986446,0.09023071770141389
CDE,0.3844957710832859,0.8210164938129718,0.35504603696828774,0.3190588115675793,0.4710267708249479,2.5956726772319576,0.38750984014222567,0.6194832726312571,0.14191870244083704,1.4729201350529282,1.7015641072966456
TPC,0.11670015543058487,0.5362268771559171,0.1650311222387706,0.26981958320834803,0.4123230627727534,2.5607888098704636,0.07205428051096963,0.597498942846868,0.062475064344693854,1.3985853467601528,1.5071092570092972
FTAI,0.22466677451453254,0.3514257019528626,0.20648766439087507,0.348659673237041,0.4313846754274858,2.5295510572235167,0.14241686484036942,0.47727137476779635,0.05659700793604472,0.44549684068395234,0.15453815773001178
RSSY,0.07321563418294175,0.11107706005201434,0.06055371408710464,0.11302698689277062,0.37078997230071087,2.5107441797545866,-0.00450459378161483,0.28263395251402734,0.026005483566325927,0.07027611975366321,-0.0516220187478853
CBNA,0.17945550391374354,0.3243001582280396,0.12498956582431275,0.1857699243873564,0.5577438815015405,2.4956692337994513,0.32072259229793953,0.47314033440076253,0.03684466818930865,0.3064405987855978,0.21308359741997096
SIFY,0.4132073661202402,1.8221311727193976,0.4114392938416356,0.4812927833940622,0.6692785095155028,2.432582572554491,0.29277908859025725,0.16516876697563587,0.02001886388820262,1.5484410668855295,3.0382321091854037
TBBK,0.16336908428643881,0.5099618489849822,0.09866560128770385,0.33145742213691104,0.6437359051738103,2.4268312733410022,0.1463645757372487,-0.10750729152652161,0.013106897019971697,0.26424158296030553,0.36845781161032787
NKTR,0.8263069377054717,4.849829905245334,0.6270261323142623,1.0699519619925404,0.4269715363170508,2.3960631936661034,0.0011749298872985037,-0.13956202208306268,0.03309249536659942,2.6797700116971743,2.3967456064689583
HL,0.4713168694750276,0.930048726673611,0.4057019999255609,0.5059552983269502,0.7871348565897303,2.378393637400606,0.23088933618036123,0.4507784856079968,0.12135182437079917,0.8421576820577936,1.2000384707089706
BRZU,0.16921516312819063,0.17559538353028836,0.14812836314261157,0.3532771580717458,0.6698583403913062,2.328634480264273,0.7694343935618186,0.7750635931498047,0.08514095179707537,0.2765310790918565,0.6838333344457876
SSRM,0.2889611446299851,0.6638072555111159,0.2562197793211469,0.36956391095429525,0.6620383294877781,2.3102500608498033,0.023776911442948023,0.026709805735819714,0.023820605723280375,0.8959063503298574,1.9394102266014777
ICOP,0.12207472945573716,0.22743997106308456,0.10587080526378001,0.17464132783242095,0.4599856848395921,2.298757394386213,0.21711049112788317,0.8416408049583164,0.05054202107729,0.20116885766370407,0.30756549214383333
MS,0.08061958618217102,0.19523555277506732,0.07385345200169224,0.17457319273067357,0.47706411414843275,2.27783678640196,0.35532731381231986,0.552064849391035,0.029478802102283153,0.2108863137348136,0.20274155585760223
AU,0.2447980341043361,0.39667186897644324,0.19237899196083075,0.3013482250199395,0.5405304508211247,2.268867737793215,0.2695961894601182,1.3167295070037381,0.06553250625472185,0.8221777706659577,1.8069874132215094
MAGX,0.13125581681790854,0.42568385883031135,0.17182486325238067,0.3590394226861096,0.4948524946904516,2.2664097992856673,0.18566811433807295,0.787368878442493,0.09662046120116607,0.4818383600114218,0.14803794332801057
IBLC,0.21206755571361136,0.5480454948305273,0.22169824850198272,0.3936694605538435,0.6917031025243064,2.2610581297475774,0.45007092241774593,0.5162680088628029,0.13097024498358412,0.6934052777023998,0.4626179699948585
DINO,0.19850792994064892,0.29773900512174145,0.13068809937407333,0.29695741973708806,0.6602133831965695,2.236299273845203,0.3510637823461631,-0.4970391164806869,0.011129909863520249,0.5505961177424248,0.487404210066682
SLVP,0.26584680237936165,0.4113661554205481,0.20684772520732597,0.3285608765250665,0.7413364476664077,2.2162966507739017,0.3187055233488105,0.668005181553982,0.06729243628636072,0.6035370034501699,1.0750645534050216
OTEX,0.16788040587372421,0.315179696911581,0.16087732078338268,0.20926233899790778,0.5766083065230262,2.1939515223861354,0.19562930873638695,0.8965250842132804,0.075415271611315,0.3156686142785581,0.2616695284912318
LMBO,0.18344127237949337,0.6361480630782261,0.20999342844632785,0.4416867664470421,0.534433453807652,2.1907328153502656,0.585105419118797,0.8158721527910098,0.10887009808813586,0.7135301003560182,0.3743281280590145
DAY,0.041048326921130585,0.23987242970675804,0.09057010289976186,0.16023060756127552,0.27435155024380853,2.1817932766424954,-0.961904333040648,2.55446244157163,0.00824025111540605,0.09239197801587706,-0.09689686972085543
DECO,0.20222632796078943,0.4985193077875274,0.20592683547072288,0.3107480078802274,0.5922299204912944,2.1772013265784502,0.3031065372059971,1.1846150115967216,0.14071008005008578,0.5412554280513036,0.3724976821698327
CTNM,0.4720910140150323,2.284532899583076,0.37376150615297266,0.7740129664615976,0.6450717754057225,2.165440442529892,0.022616615833687348,0.016473743598997892,-0.04605555713507581,0.4560247551511889,-0.2301258629546118
DFEN,0.09364597359545002,0.4133051445232334,0.11227320725415058,0.4171807137056181,0.5484610011530829,2.164688946856367,0.9123197343362353,2.1485905634797464,0.10257539654191272,0.7475059589323769,1.1508531543441274
EVR,0.14181314377501697,0.4168726600741792,0.1294599160469012,0.2615660072066767,0.5046858521498314,2.1566483002725376,0.29528997343220587,0.5972572966939083,0.0682746901639455,0.5254876417837968,0.19523902571526142
PTHS,0.5123215879822036,1.6938472216895235,0.3617083144140325,1.256102775562937,0.6843216453650777,2.1422204623321686,-0.15373554874762796,0.09474125375855769,0.02009487334600535,1.0585266197536027,3.74446273651521
IGM,0.054042253809749585,0.1696118696956077,0.06936837646465888,0.14757025740131843,0.4180623304653301,2.1321223384057455,0.7737794912791285,0.4279269768972671,0.03164559268045131,0.2206961895768642,0.15432102100526834
KLG,0.010930572081711887,0.4947176948181744,0.04711394471069097,0.06830892533090917,0.12723650345990217,2.1285973947473185,-0.008205823335144302,-0.27119701288439213,0.006196402174664106,0.22102616835564937,0.24483186244360522
STOK,0.2563718895009539,1.0208686121616193,0.3260048840170544,0.4383889035380216,0.6594192727773793,2.126617110583599,-0.11426118417532694,1.3924139671094586,0.05543145643304559,1.658158652364492,0.9942829470308407
BIDU,0.2748885097625857,0.3665518289160752,0.20289783518762383,0.344952610995776,0.8395093867808576,2.124414104644015,0.016134915636854874,0.313352210106252,0.06105927473135053,0.13571566714338879,0.2891401384533365
HFGO,0.042034106354783995,0.16418768564539432,0.058649812148893865,0.13582001815619668,0.4063870953464472,2.1217351653624648,0.3422273554224484,0.8176984188257306,0.027278326500626227,0.17413172550965061,0.0935368141459707
DVLU,0.06848695917144187,0.13195098967879537,0.05109226533821776,0.13801646479223748,0.46053178913734955,2.0999499231649392,-0.2795711282894455,0.0848492793257849,0.018753634168813038,0.05637899976250971,0.05486209415663845
MGNR,0.11881704048465425,0.20030326188222514,0.10575534655294105,0.15988032974566488,0.48903758853962503,2.099193999145321,0.11612176603112756,0.7551438865483888,0.047430076757686956,0.2021549685332753,0.25728728671784884
AGMI,0.223987035290504,0.38288116177612297,0.18298533488951652,0.23855643359675727,0.66248238364891,2.079980059654236,0.39331991886825035,0.4486266083241812,0.05798665601416442,0.4991037178625737,0.8987067837514706
TGNA,0.05263391183138477,0.2975242538199503,0.08724886701006995,0.0556757630778459,0.09668422984487673,2.0788164838257837,0.4900176072681144,0.6207566726426736,0.008636498494181355,0.08595318833124943,0.11503781733967511
ALAB,0.28613460477268204,1.4221163340566965,0.4139387445392082,0.6384715793750011,0.6983164536379921,2.0707904843960736,0.4083683120401209,0.5716898768833145,0.11970307743587383,2.0794584894633976,0.7123316973878584
SCLX,0.16888399972499157,3.754845927282803,0.32802370474554166,0.9929835124131714,0.6827547888726185,2.063976493633796,-0.7473263029087671,-0.022715178302407768,-0.0970984058748875,1.2220756489995632,0.43709398422863055
IAG,0.33680443318026265,0.5289236274014066,0.26170979396282634,0.4400534135608719,0.7644673114547079,2.0639063993585003,-0.0999870573427204,-0.24224778229433142,0.10513006870185704,0.7635905111125783,1.0265688578713714
TESL,0.218792400080686,0.30181017067250093,0.22041000582937054,0.4769130513470718,0.6469836150335351,2.053459032507806,0.7244703151055096,2.1881853832943308,0.2192877325756537,0.6666247804858874,0.20188132058904085
BKCH,0.2702521820258681,0.7011286269751547,0.28091122811178004,0.5129590611805739,0.7803577441964572,2.0463220807033977,0.1441201704481232,0.6179854988975702,0.16736656772649638,0.8210910917516661,0.4520106134463613
SPTN,-0.00040882533385144804,0.48848525518581565,0.024807835662447042,0.08075176976575187,0.10272611042206244,2.042421340677765,-0.06049429982073118,-0.13615516901654878,-0.0025284711238289237,0.304508416182929,0.404986965941762
ALAI,0.0913324700753575,0.26548744290038306,0.11030926701566268,0.18078521008309462,0.4636647474979456,2.0209288481506715,0.28295263119795155,0.6564203944900473,0.03713559151491297,0.39415233261038374,0.3285354208311859
GDXU,0.6427956854246044,0.9743284530824594,0.4252406587208659,0.7081176486338985,0.6234253334108135,2.0123953213390093,0.16414507791487343,0.7040163433425874,0.10172313576539938,1.7020380354282931,4.359731271148946
WPM,0.13142375915374815,0.1665332523332459,0.0844726359655219,0.1944273996464263,0.5087786505471442,2.004717858142128,0.10276363358794383,1.1606398232453154,0.01171965785308915,0.34202141040195144,0.784352986764669
COPX,0.15601943560348563,0.2681434750841709,0.1271746244078893,0.19937483006013274,0.493658544999721,2.003950773703903,0.2342013759781807,0.4253499732410795,0.05073722578507911,0.20980409549837442,0.3439796978537226
