,R_1M,R_3M,AboveEMA50,Vol20(ann),VolAcceleration,FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
ABVX,0.21712449959578417,13.186900086880224,0.3327280591630686,0.3566267732656457,0.041976462225328165,3.941238056087088,-0.1835563012664938,0.20713327877982568,-0.047421273709616796,10.455159821338231,9.867581258966869
JRI,0.08019262651306835,0.14376857303610513,0.06821096459385179,0.10304569911075726,0.4522496350282142,2.9778124513547515,0.4606228677565096,1.4302772801194585,0.042865644463778274,0.10569760571035647,0.2079835268851793
COMM,0.09069738048199882,1.9282505947244846,0.23273114498380965,0.23829347156761443,0.15825848857690872,2.9623097463068446,-0.10866716282133826,0.371518627311882,0.016229975470281266,1.8599370570473943,1.964348175105286
HALO,0.1824518690837158,0.4817644683190818,0.146678617608327,0.1975658538951676,0.3634406849462345,2.9281757293329176,-0.11768508232002661,0.2576142670236723,0.024403827410546475,0.15094658677591655,0.5230725251541106
FORTY,0.2215379373898474,0.37536138291086485,0.17572141114962436,0.232597244064692,0.42280844526623534,2.7917682482235557,0.06008971374969274,2.3667850330050535,0.08791447252786466,0.5522928843501076,0.6083964421025527
LEVI,0.06513988828839468,0.2942481810003985,0.053834592330313624,0.20693339803097546,0.3923994056897795,2.785783749524389,-0.030654930919881362,-0.23583846211012416,-0.015764757567067744,0.3550834472640054,0.22631048054756375
FLEX,0.1677878326674671,0.29508258898718176,0.10824784808889398,0.26647479674068647,0.5384486967702602,2.7409438050492003,0.25112009119684986,0.9939407271314007,0.027392064055206333,0.5294241546482372,0.41310266567177667
REZI,0.2023188000730125,0.8658706397201297,0.253561075741392,0.3069407664610509,0.5348185131422553,2.644156508015021,0.6892993149021351,1.7324320656620384,0.0629367082661616,1.0247860679827014,0.5639575092456626
SCS,0.045721967729732915,0.705009171673449,0.14145360118612382,0.18545741179848213,0.18875493459015366,2.6030242922050544,-0.05073496264865618,-0.025624712376778547,-0.0210568408329449,0.4997128018611119,0.3715969118671951
SPNS,0.015568912270110369,0.5505479879902209,0.15884035071206726,0.07164868910342463,0.10069608077273662,2.55836613109563,-0.04843412927109636,3.0373349113055355,-0.00021148760748412876,0.5701336480405688,0.5553741134296917
JBGS,0.1805077274661604,0.3306102398760433,0.1540644013165584,0.20918805681288205,0.5548505507945689,2.557233825523827,0.22873651115147764,0.5318874069474364,0.0324137613408888,0.4589040924820438,0.4779914433275627
BST,0.042983335977597736,0.1449832593980751,0.05373358518155147,0.1272072349243937,0.4373324892987535,2.548237938968852,0.32675122282582736,1.4102538928436716,0.03042481192358748,0.19415967631286413,0.11847579851199819
ZIMV,0.009915802989212574,1.2069525759795035,0.1158534324505105,0.07387422890912732,0.04073918631928743,2.5303087985020265,0.05779939599134609,0.0019309965165836829,-0.0007799622699311559,0.5659892287678532,0.2808866801477403
WDC,0.29241706916009247,0.7083463730823694,0.26314048100836773,0.28877225025536835,0.5405992111295432,2.461922517245328,0.22695297804904468,0.7368260949475594,0.05910910176214412,1.1185939935359905,1.0579671724839148
HECO,0.12153579315583829,0.3438471916223982,0.12569562198052342,0.254154777088819,0.5676843562009013,2.4415445168718826,0.3418312798628973,2.306143314207578,0.1109976311420322,0.4177688644240882,0.04493292034490026
XTL,0.09894859649463261,0.3186766416469482,0.08893176777007805,0.19674720574394852,0.605944850247938,2.4339422431173086,-0.28005238150144907,0.4203158302833989,0.013685946998525766,0.288845366523967,0.22429862297580128
SSRM,0.40323886984113577,0.781731504452267,0.3327844866850478,0.3823602269694395,0.6743207192296241,2.4330787983597104,-0.029538669254919103,-0.28879799559488184,0.05918591513415916,0.9400587907133233,2.0461959151759994
CDE,0.3503662449499765,0.7237316229694382,0.32516422460786343,0.36958606816876155,0.541463474485239,2.4122639945863087,0.00046811416193826005,0.12586863085120958,0.05667616304348,1.3286878091237213,1.570919196509172
CYD,0.3771980527534613,0.8851394142951949,0.33435962015852905,0.41626438587779563,0.650258831775733,2.4113761174918817,0.4077394474423537,0.25793159761831896,0.12767552250707936,1.004148569794698,2.9572193128936144
KE,0.24758549450544276,0.6347067051046931,0.23147937491713488,0.2545706617325658,0.42134399322029226,2.3738193889081387,-0.3406556923638733,0.8013288367917268,0.021195458534335243,0.7281630689381406,0.5465170204238523
ANIP,0.09410768008287951,0.5784162193046523,0.17463917773206972,0.20016314053548676,0.44932347266121636,2.3636313317527753,0.3320403556953919,-0.10248750538892448,0.022866363243028154,0.46172381545220986,0.6737245104939951
STX,0.26830942622927445,0.5407175938846294,0.2170746920307336,0.29893035598063306,0.5840500733078872,2.347216779671246,0.15486745815209435,-0.2116478281103329,0.039697957044743326,1.1461243286629625,1.1793547889724594
HL,0.4755923082697233,0.8878051073482074,0.43129075399151295,0.5492550766195368,0.8530585869612327,2.344723183951329,0.07437548250177795,0.08294431322981444,0.24050818136061536,0.8471270186831048,1.1663532716965475
KLG,0.012846709611223472,0.5125561587649399,0.047460979637065304,0.06859891750425857,0.12740644820445177,2.3376018753951753,-0.051953076119792385,-0.06955963392624742,-0.0014044834186023314,0.20315263737569844,0.24054068183974886
NVRI,0.21872783044382693,0.4815650678416936,0.19592971408245052,0.3483521616802632,0.6260876316395924,2.318936298485253,-0.06325349583269313,0.6730449356424284,0.03465828296374851,0.7359285050501851,0.49908399668744297
LITE,0.4333229424505889,0.932114388347111,0.34306232541222026,0.47488718712907885,0.7162501202215182,2.317211260760493,0.06039165849665107,0.14164982946948568,0.08872070207118532,1.2800164146945905,0.8387945469929627
SCLX,0.5247164981730978,4.7961089274471265,0.6000554222248946,0.8997512163161138,0.6248557691335822,2.316526252605853,0.0941218223693654,0.8245795274151362,0.15051190823191796,1.5815119672779376,0.6690168640613017
LGND,0.08614804766129636,0.5072169073248942,0.12114791811074443,0.14775259262303608,0.38483964376100044,2.3033121849155678,0.019345745085557642,0.43325373445142534,-0.00782501596085039,0.4583822137971092,0.46478656234575744
NKTR,0.8380848546851036,4.706443029540337,0.6668307355992229,1.0891459295096086,0.43354842391420584,2.3003477508801593,-0.012149603947774867,-0.11720217665815369,0.209319943062932,2.590995896445307,2.304375262710414
TREE,0.1673935145036749,1.1783588958591436,0.2203473590302687,0.4346927801701817,0.6180754420707463,2.299224690767572,-0.13239537247127098,-0.4940573463735909,-0.0017000132355818875,0.34536969563457043,0.7550386447343926
HBM,0.24069111308932944,0.4014253623543511,0.21144758279976905,0.30922435020805816,0.5619539671433817,2.2945003218171025,0.03873032417499944,1.5586745528763124,0.061723049950325404,0.565486519561331,0.5833120752410501
TPC,0.12589145912841637,0.5625259161382816,0.1790846084995812,0.2932203025916827,0.4478025897379204,2.2674314446032384,0.2705599827933991,0.3318635469734581,0.019357700684644374,1.4079783650434985,1.5026842520264743
BIDU,0.3036448239447065,0.36567195768519145,0.22357791019468332,0.35268241812043327,0.8576063737519297,2.2549694969394762,0.2606504602379036,1.1264755328046603,0.12366530434533063,0.17210786130808886,0.2891401384533365
IVZ,0.05924989127115565,0.5964326221687077,0.10289103842232028,0.20518863406124985,0.40847775673732184,2.22554747716992,-0.122341837796617,0.1783309310296457,0.018133278696031097,0.4240926778322347,0.2577293348433418
