,R_1M,R_3M,AboveEMA50,Vol20(ann),FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
ANRO,2.559027175159578,3.717276351111696,1.172740209787468,3.51031285180183,8.068587541366524,0.35515126925605855,4.297400115826557,0.3718815222523808,5.651654685022142,2.225459237026788
WKEY,1.5507987131877865,2.0956831048266773,1.074235455536654,1.771013951463648,5.933183939108386,2.949574634660177,6.261479741113328,1.0553010336022153,2.904895452665939,0.7085174412637572
PRAX,2.763902136969689,2.708779438833639,1.100577463844016,6.462710773724545,4.373890306792107,-0.646421534769007,-1.1015714728829078,0.057893768270872004,4.775084101071835,1.4718590948040755
MUU,0.8068444211494732,3.3852589119872487,0.6007538017788985,1.0796577264053606,4.126631761296087,0.5130971319623576,2.502430082036011,0.29045346110039305,6.1055836794135026,3.727304628818948
MULL,0.7951259240662354,3.3325139148527168,0.5950695097916772,1.0817010865126697,4.048363703503992,0.4861902438900225,2.499187393351218,0.29310351062892015,5.8781762746347725,3.5372621819586874
AMDL,1.5007363123760022,1.1363305243424282,0.629532773911337,2.1243168436264965,4.029016850790823,0.5137982959364615,2.3667861646936146,0.3016736154813966,5.116686330580098,2.215985112562126
LUMN,0.8316037315114884,2.038385089735658,0.6880381076876905,0.8495053327502993,3.9828054842267826,0.8360455999081031,3.1532197501811146,0.5572907072596158,1.6791052622113392,1.0130890621981692
PUMP,1.1586487174400673,1.2435671101051184,0.9552324259650453,1.934356762104221,3.78172545654109,2.6753037177704715,3.7912861764586547,0.9173299031532793,1.1894949373772388,0.15612867762250948
INTG,0.8424565963541717,2.37727514161225,0.5170918249312488,1.2252746797237346,3.402176975478196,-0.41580886026357833,-2.0106091609235515,-0.043232103909165875,1.8913223608937342,1.4822091667310944
CLSM,7.372126380952718,7.96327764876648,3.5600247597856454,25.073851372480252,3.2154967234298013,-1.6590283924813924,3.0841032129974653,7.0990026985345995,8.71359291650798,8.044132606256051
INBX,1.3312605900760248,2.65546766418828,1.1885321177416537,3.7782872320190584,3.1538624251147755,1.0580159539308713,3.4324349580692957,1.4363299767320656,5.426270602676957,3.862020331494816
KORU,0.7461082557773124,1.4659502149968562,0.5456100380226283,0.8908290567039774,3.100404781716986,0.7745879104930729,2.102076669435891,0.25833531094563833,3.1159383949796275,4.107933086603522
SUPV,1.371578817499298,0.18646100513340835,0.6046015826880817,2.108432771360353,3.098644746974827,1.4757105885459492,5.1822326482903645,0.9009260584472805,-0.17061593439171707,-0.24941099806523614
