,R_1M,R_3M,AboveEMA50,Vol20(ann),VolAcceleration,FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
ABVX,0.2173301175528506,13.249010831460124,0.33986716355557434,0.3537241041849547,0.04163773993876136,3.961511444955027,0.051176980950013995,-0.042696891729319564,-0.045613387427261065,10.001186323857068,10.079492433505289
LGND,0.09399825126290384,0.44943855664471166,0.11158019461201629,0.1461247826897168,0.38171912817334136,3.257196034748117,-0.31334131485601846,0.9586962621015962,-0.0017919554641330215,0.44698903085893393,0.45893067220917705
NU,0.2127886379911188,0.30493053600490705,0.14687167853959182,0.21790005057582224,0.4698042174533809,2.9576217628238033,-0.13759329200009374,2.379258209404572,0.04563686615900053,0.2978997411811546,0.4504404875852466
HBM,0.25751451597802033,0.43461249068256835,0.22887957218442567,0.3045610991194578,0.5531095308521656,2.904542466833967,0.2892704249198692,1.7212371600544085,0.05337460999810295,0.6113841225222101,0.6212406349888857
KE,0.2097531832886319,0.6597560036983616,0.24351952200009586,0.1913620758966136,0.3165725899402602,2.810272601618547,0.3477435190502747,1.5490304858612887,0.025197620522075415,0.74071548585138,0.5773151214511434
CYD,0.35520155396071873,0.8539604387715263,0.32218425794412475,0.36255968704357605,0.5667052544179653,2.7718459643788886,0.26334029259792047,1.2491178874976099,0.18046118835020097,0.9815320193857577,2.9733628951252493
KGC,0.20350394118654314,0.5069540370991468,0.2047329341988453,0.29439207805411416,0.678414664080089,2.734720077438157,0.008944882193848258,0.34727267444496723,0.03269929633581614,0.8150799642282551,1.3848266986883857
BSEP,0.023508813993404987,0.09796836685988475,0.03197404673154125,0.09535582066774281,0.4345718123729813,2.686260671831916,-0.0539467991466811,0.05937146179410924,0.01125079761196024,0.0783892222456235,0.056043156009809136
MEDP,0.08268857253942019,0.6464216795783342,0.13390841747954063,0.24137880277174814,0.27151700045957844,2.6344499396048233,-0.014120786817206188,-0.6298549666032383,0.009070151478000055,0.4475771722822055,0.41120837103522345
ZIMV,0.0007067587267790554,1.2025584279862969,0.10918477068185539,0.07137530927591049,0.03936210154196363,2.586069581353448,0.04567397595436207,0.09894418780069758,0.0002887199740477797,0.5317497255091934,0.27893131671148375
