,R_1M,R_3M,AboveEMA50,Vol20(ann),FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
UEC,0.3195335406154258,1.1805326865732613,0.27712197458421595,0.6868513590350873,2.6346568882823123,0.08248104799239897,0.7178862987718819,0.12457835184318955,1.9522221936952553,0.9619285347384909
PAAS,0.1784198548219289,0.41122307184374707,0.16377507991579066,0.383335071143492,2.6151430314514554,0.474944840539262,0.08787406320008095,0.06893211470014271,0.5161810786448766,0.8371398496376166
CMCL,0.48814032931096585,0.8968192115598619,0.355421779552368,0.5150936461203832,2.4033905916633738,0.34347848416447846,0.8332679560707785,0.11600014653457125,1.912306065996415,2.8094158199024335
CGAU,0.32555817716007374,0.47451215715055994,0.24139316139492695,0.30729895114585076,2.3722433488892944,0.17177001411244097,0.5889241976364612,0.09266534849762609,0.5996597076351975,0.7594760189395451
EPU,0.122959256835115,0.2680506954537607,0.10758688116809534,0.20615082356484554,2.32215024915093,-0.14930233687866235,0.4120069719330046,0.04217315273275912,0.3373320847029744,0.46461837113344373
STX,0.2764550012373317,0.5668479123849712,0.22204301398772208,0.3740486455486235,2.3105791941012184,-0.02316764463435117,-0.32832670232737016,-0.001096857107485305,1.937863369992018,1.4524548800396957
ROIV,0.28527024070761153,0.4487841113961324,0.18550588598997053,0.392512038352977,2.3025111367742643,0.2317234702530322,0.6545464109236978,0.024768862426740812,0.45643803387308335,0.23123691865442098
BBC,0.18571143785828004,0.4392114008468717,0.16715031754320364,0.36790372909627966,2.2499523849121577,0.1998542290999712,0.8099142631196905,0.10867282995065497,0.5708281936454798,0.07496473608878107
PFSI,0.15267429633934948,0.28094316039300216,0.11556580653143866,0.22394059295981944,2.218957513275398,0.12832037335623392,0.061351777823566156,0.008023021971912181,0.16560641602886128,0.1765055631152206
TAC,0.09672295646894424,0.33365881555624743,0.11032307137437769,0.2272408837605218,2.190890816129775,0.11651735007478159,0.48381016801491405,0.01449730055621834,0.43658429564832324,-0.06397826848638166
WDC,0.31943870189394974,0.7512341707284371,0.24457450853003748,0.40042204266432097,2.179432680977347,-0.026816078622837303,-0.13456723183499575,0.01836909023974931,2.0168932070695686,1.283736205728863
B,0.3272571074602224,0.7278123781366335,0.2811460504555814,0.503996643938169,2.1687343442560456,0.011682518958548105,0.1665194398621277,0.06187424356537652,0.7188809339116584,1.159316279079515
GFI,0.2865589875167971,0.7985798006455869,0.2328983275996146,0.5305502342671944,2.1677635043778936,0.2551945682418064,-0.14283987964801792,0.004430537710784277,0.7332625830892465,2.026072887382826
BULZ,0.2535877990715356,0.5885060038119607,0.21505385121172105,0.3632374405549758,2.1349244282728512,0.1259978814439795,0.029153622452693373,0.006480549240021283,1.7243582089628422,0.4797015513145759
EGO,0.2125032712697581,0.48048302912271756,0.1761032967333278,0.3406914557487024,2.1220741459452355,0.24280862570195572,0.31666207080251496,0.05020519488960651,0.5673229515670504,0.8628403923324126
DDS,0.15331548115238025,0.4466643501043299,0.17521633386716262,0.3359719890553399,2.0909781045931926,0.046815076959592083,0.09031041199485568,0.05807175953648436,0.8705730532341522,0.38899328361053276
HYDR,0.2615328956687206,0.5125406087044106,0.2215255068969033,0.5494974895581962,2.081355357527322,-0.007113687606226549,-0.023267144661070827,-0.01737617954385473,0.9486098106069323,0.40664508685764167
SIVR,0.19329258629310786,0.3368883634378643,0.15985057748943032,0.28179213133986736,2.077521422583207,-0.23013425938643817,0.7206199152547743,0.08963798697433023,0.3950447133194428,0.5302559115861054
CGON,0.42151772200220106,0.48850072288935364,0.2346014376939134,0.468516933546686,2.0774631894802997,0.17847663950998816,0.2958038506935705,0.033608489805682096,0.9251528375573002,0.2567703189711683
IIM,0.08236386254787975,0.13086392598680052,0.06055147352156465,0.102709710560432,2.0768818643566935,-0.06797399081519329,0.4829602187263917,0.007067799564788313,0.024984769122884165,0.06299397036454879
SLVP,0.287067559655356,0.5680849713648324,0.221563417560652,0.44745434181805677,2.01778509798388,0.07064614814572234,0.2661788101697291,0.08044302769338763,0.7625483870647534,1.2370179058981265
MTRN,0.08902648738426766,0.526086688466918,0.11509035317558602,0.29339722376332344,2.0118532641790945,0.06808651420668,0.16173997905223225,0.007049016896866878,0.531822293989674,0.16480318437221841
NGS,0.09864682895384025,0.17581565771182994,0.11614266688426533,0.25203338380342244,2.006315294460264,0.27930514816294005,1.420028604863321,0.08056572884849622,0.3449909051577349,0.035392120438389574
