,R_1M,R_3M,AboveEMA50,Vol20(ann),FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
ANRO,2.559027175159578,3.717276351111696,1.172740209787468,3.51031285180183,8.109217264478183,0.3563769912743098,4.31137668152573,0.3718815222523808,5.651654685022142,2.225459237026788
WKEY,1.5507987131877865,2.0956831048266773,1.074235455536654,1.771013951463648,5.959656546128462,2.9595119392385327,6.282131144061453,1.0553010336022153,2.904895452665939,0.7085174412637572
PRAX,2.763902136969689,2.708779438833639,1.100577463844016,6.462710773724545,4.417822944561703,-0.6483945107830902,-1.1054983113006935,0.057893768270872004,4.775084101071835,1.4718590948040755
MUU,0.8068444211494732,3.3852589119872487,0.6007538017580132,1.0796577264053604,4.140867084871815,0.5132706466574395,2.508392807681341,0.29045346110039305,6.105583048269745,3.7273043305569944
MULL,0.7951259240662354,3.3325139148527168,0.5950695097916772,1.0817010865126697,4.0624242541465065,0.48631246646034043,2.5051593167988417,0.29310351062892015,5.8781762746347725,3.5372621819586874
AMDL,1.5007363123760022,1.1363305243424282,0.629532773911337,2.1243168436264965,4.053109023682508,0.5153389171121785,2.3749796650042465,0.3016736154813966,5.116686330580098,2.215985112562126
LUMN,0.8316037315114884,2.038385089735658,0.6880381076876905,0.8495053327502993,3.997810400815652,0.8377008515261766,3.1629942275757066,0.5572907072596158,1.6791052622113392,1.0130890621981692
PUMP,1.1586487174400673,1.2435671101051184,0.9552324259650453,1.934356762104221,3.8025918626518322,2.688501053741375,3.8083293386285675,0.9173299031532793,1.1894949373772388,0.15612867762250948
INTG,0.8424565963541717,2.37727514161225,0.5170918249312488,1.2252746797237346,3.416664143097994,-0.41775069218598126,-2.0164722107298534,-0.043232103909165875,1.8913223608937342,1.4822091667310944
CLSM,7.372126380952718,7.96327764876648,3.5600247597856454,25.073851372480252,3.335762677432065,-1.6632109885847086,3.202566376003401,7.0990026985345995,8.71359291650798,8.044132606256051
INBX,1.3312605900760248,2.65546766418828,1.1885321177416537,3.7782872320190584,3.1783806755409936,1.0609291289328437,3.453934148276416,1.4363299767320656,5.426270602676957,3.862020331494816
SUPV,1.371578817499298,0.18646100513340835,0.6046015826880817,2.108432771360353,3.12099661716537,1.4809302883522464,5.203411878826737,0.9009260584472805,-0.17061593439171707,-0.24941099806523614
NXTC,1.081549690105688,1.5084725788450717,0.6764996478104659,1.9780573890496829,3.115003842951906,1.3633709288032325,2.281639429105483,0.3211620381458349,1.3521604048000087,0.25725497618194804
KORU,0.7461082557773124,1.4659502149968562,0.5456100380267261,0.8908290567039766,3.1137283447916095,0.776702890217233,2.1084879785638533,0.25833531094563833,3.1159383949796275,4.107933086603522
GLUE,0.7190244844292015,1.6742287171656307,0.5502988757129836,0.9998893923029148,2.9986446023098114,-0.043660288518934554,1.6057482420708766,0.3324411852710394,2.1364703744320845,0.7503115530762385
QURE,0.23237739182066375,4.282082469114982,0.5868692069311809,0.8406049719517334,2.955486221417534,0.16362842102355568,-10.108547218754847,0.17433905532228078,5.37981379452368,2.884340422034256
DYN,0.9035462897733504,1.4094708765334194,0.5844767002900175,1.5550909474552548,2.8399666645827044,-0.5431949272279906,2.066673659248768,0.4404414257182667,1.446823706089389,-0.025339759072073975
BMA,1.058075460857271,0.29264710437075836,0.5236144945286769,1.4459901198059746,2.8209545705523733,0.7105935453839463,3.1902997183702473,0.5365568303348094,0.03373680474994867,-0.13695918545104369
